,Unnamed: 0,City,Country,Smart_Mobility,Smart_Environment,Smart_Government,Smart_Economy,Smart_People,Smart_Living,SmartCity_Index,prueba
0,0,Oslo,Norway,6480,6512,7516,4565,8618,9090,7138,EU
1,1,Bergen,Norway,7097,6876,7350,4905,8050,9090,7296,EU
2,2,Amsterdam,Netherlands,7540,5558,8528,8095,7098,7280,7311,EU
3,3,Copenhagen,Denmark,7490,7920,8726,5580,5780,7200,7171,EU
4,4,Stockholm,Sweden,6122,7692,8354,4330,6743,7730,6812,EU
5,5,Montreal,Canada,7490,4848,6624,6180,8465,9920,7353,NA
6,6,Vienna,Austria,5683,7608,6232,5415,8580,7500,6771,EU
7,7,Odense,Denmark,6160,8404,7578,5200,6955,7200,6886,EU
8,8,Singapore,Singapore,5790,4344,5560,5535,9695,10000,6813,AS
9,9,Boston,United States Of America,7870,5224,6020,8935,6573,6220,6852,NA
10,10,Zurich,Switzerland,5782,8844,5856,6380,7200,7960,6984,EU
11,11,Trondheim,Norway,6492,7102,6686,4945,7558,9090,7039,EU
12,12,Vasteras,Sweden,4683,8296,7840,5980,7065,7730,6771,EU
13,13,Aalborg,Denmark,5593,8312,7502,5165,6955,7200,6720,EU
14,14,Ottawa,Canada,6793,5136,7550,4285,6703,9920,6852,NA
15,15,"Washington, DC",United States Of America,6848,5224,7474,8590,5930,6220,6662,NA
16,16,Stavanger,Norway,5317,7162,6600,5360,7595,9090,6818,EU
17,17,Los Angeles,United States Of America,7745,4574,4750,7235,7498,6220,6437,NA
18,18,Helsinki,Finland,5765,6140,6580,7130,7523,8710,6920,EU
19,19,Vancouver,Canada,5975,5348,6726,7385,7725,9920,7152,NA
20,20,Berlin,Germany,7677,7090,5940,6060,6040,5690,6530,EU
21,21,Toronto,Canada,6780,4712,6158,5885,7158,9920,6881,NA
22,22,New York,United States Of America,7607,4468,6038,6520,6610,6220,6336,NA
23,23,Chicago,United States Of America,8110,4680,5170,7265,7123,6220,6551,NA
24,24,Taipei,Taiwan,4978,4366,7044,3310,7858,7350,5755,AS
25,25,Dusseldorf,Germany,6658,7756,5040,6700,6703,5690,6455,EU
26,26,Reykjavik,Iceland,3785,6340,7604,9225,7285,4780,6124,EU
27,27,Lyon,France,7295,7298,6396,7510,7075,6750,7075,EU
28,28,Helsingborg,Sweden,4578,8312,7396,6245,4590,7730,6393,EU
29,29,Munich,Germany,6265,7454,6470,6385,5398,5690,6278,EU
30,30,Philadelphia,United States Of America,7478,4800,5356,7060,6930,6220,6389,NA
31,31,Hamburg,Germany,7273,7272,6038,6925,4660,5690,6410,EU
32,32,Geneva,Switzerland,4870,8706,5326,6150,5650,7960,6431,EU
33,33,Luxembourg,Luxembourg,3747,7090,8254,8440,4723,6820,6255,EU
34,34,Aarhus,Denmark,5577,8102,6574,4595,5818,7200,6327,EU
35,35,Turku,Finland,4530,6504,5986,8100,7050,8710,6676,EU
36,36,Espoo,Finland,5342,6458,6256,7950,6503,8710,6804,EU
37,37,Paris,France,6362,6586,6898,6970,6528,6750,6650,EU
38,38,Hannover,Germany,6420,7878,6422,6660,5208,5690,6391,EU
39,39,Strasbourg,France,5620,7570,6792,7345,5715,6750,6562,EU
40,40,Joensuu,Finland,5045,6730,6356,8325,5463,8710,6703,EU
41,41,Sydney,Australia,6263,3890,5932,5075,7305,9620,6442,OC
42,42,Frankfurt am Main,Germany,5487,7650,6196,7600,4868,5690,6185,EU
43,43,San Francisco,United States Of America,7217,5148,4746,8565,5495,6220,6319,NA
44,44,Oulu,Finland,5258,6488,5642,8135,7105,8710,6816,EU
45,45,Cologne,Germany,6825,7514,4090,7020,6853,5690,6396,EU
46,46,Bochum,Germany,4442,7998,6058,7645,5340,5690,6043,EU
47,47,Stuttgart,Germany,5525,7802,5888,7485,4908,5690,6168,EU
48,48,Hameenlinna,Finland,4567,6746,6512,8400,4590,8710,6503,EU
49,49,London,United Kingdom,7178,6496,5014,5840,6360,4550,5987,EU
50,50,Tampere,Finland,5203,6534,6696,8365,5293,8710,6736,EU
51,51,Adelaide,Australia,6313,4148,5792,3410,4678,9620,5892,OC
52,52,Melbourne,Australia,7230,3906,5848,2780,5188,9620,6061,OC
53,53,Tokyo,Japan,7787,4516,5476,1800,4158,9320,5914,AS
54,54,Jyvaskyla,Finland,3900,6624,5852,8175,6388,8710,6448,EU
55,55,Perth,Australia,6677,4026,5134,3370,4810,9620,5885,OC
56,56,Vantaa,Finland,5223,6444,5722,7760,5500,8710,6542,EU
57,57,Auckland,New Zealand,4913,4974,5972,3025,7855,9170,6004,OC
58,58,Osaka,Japan,7233,4758,5732,2105,3403,9320,5795,AS
59,59,Bordeaux,France,5550,7586,6832,7720,3425,6750,6296,EU
60,60,Milan,Italy,5512,6696,5554,5490,6185,3950,5503,EU
61,61,Madrid,Spain,6715,5590,5390,4735,7815,2740,5475,EU
62,62,Daejeon,South Korea,7018,4192,4304,2250,8635,4710,5314,AS
63,63,Nantes,France,5512,7524,5932,7495,4468,6750,6268,EU
64,64,Brussels,Belgium,4447,5950,6110,5905,6680,4250,5379,EU
65,65,Marseille,France,6087,7010,4188,6955,4920,6750,6080,EU
66,66,Leeds,United Kingdom,6348,7252,4342,6470,6363,4550,5912,EU
67,67,Lahti,Finland,4290,6686,5880,8210,4385,8710,6290,EU
68,68,Dublin,Ireland,3333,6494,4784,7775,5425,7430,5722,EU
69,69,Abu Dhabi,United Arab Emirates,7302,2108,5948,3325,5933,2130,4549,AS
70,70,Verona,Italy,5070,7390,6586,7155,5660,3950,5807,EU
71,71,Seoul,South Korea,6250,3754,5222,1490,7860,4710,4967,AS
72,72,Nice,France,5358,7480,4500,7795,5675,6750,6241,EU
73,73,Tallinn,Estonia,3880,3282,7640,7585,4955,7810,5681,EU
74,74,Dubai,United Arab Emirates,7280,1850,4142,2395,7125,2130,4297,AS
75,75,Catania,Italy,4310,7314,5328,6890,5300,3950,5362,EU
76,76,Bayreuth,Germany,3932,7696,5630,6395,3108,5690,5339,EU
77,77,Turin,Italy,4863,6892,5612,6095,4280,3950,5214,EU
78,78,Florence,Italy,4792,7224,6582,6815,3580,3950,5384,EU
79,79,Birmingham,United Kingdom,6383,7102,3644,7400,4548,4550,5689,EU
80,80,Budapest,Hungary,5313,3142,5732,2410,7260,3120,4453,EU
81,81,Bari,Italy,3920,7284,4944,6925,5848,3950,5292,EU
82,82,Bratislava,Slovakia,4335,3970,6438,6740,5485,2440,4680,EU
83,83,Ljubljana,Slovenia,4540,4502,5490,7190,5503,4180,5089,EU
84,84,Perugia,Italy,4790,7466,5018,7305,4730,3950,5443,EU
85,85,Tel Aviv,Israel,4160,4354,7394,6120,4113,2360,4540,AS
86,86,Hong Kong,China,6143,3340,4984,4780,4385,1980,4313,AS
87,87,Barcelona,Spain,5588,5620,4846,5745,3635,2740,4714,EU
88,88,Ancona,Italy,4208,7496,5826,7910,2825,3950,5241,EU
89,89,Lisbon,Portugal,4875,4994,5266,6850,3560,4860,5040,EU
90,90,Prague,Czech Republic,5128,2962,4878,3950,5315,4930,4563,EU
91,91,Rome,Italy,5808,6468,4066,5000,4298,3950,5020,EU
92,92,Shanghai,China,6870,2936,3842,4430,4423,1980,4228,AS
93,93,Kuala Lampur,Malaysia,4347,2076,5890,2720,3313,8790,4652,AS
94,94,Genova,Italy,4233,6982,4064,6135,3938,3950,4835,EU
95,95,Naples,Italy,3175,6802,4008,5640,4618,3950,4566,EU
96,96,Moscow,Russia,5015,2772,5078,5030,4143,4100,4365,EU
97,97,Riga,Latvia,4152,4584,4616,7380,3745,4330,4712,EU
98,98,Beijing,China,7610,2998,2806,4905,5183,1980,4449,AS
99,99,St Petersburg,Russia,4588,2908,3622,4515,5390,4100,4191,EU
100,100,Calgary,Canada,6675,4052,5946,8022,6424,8657,6678,NA
101,101,Edmonton,Canada,5801,4499,6396,8022,6200,8141,6472,NA
